Name,Year,Rating,Runtime,Votes
Skater Girl,2021,6.6,107.0,1122.0
Radhe,2021,1.8,135.0,162353.0
Soorarai Pottru,2020,9.1,153.0,82987.0
Sandeep Aur Pinky Faraar,2021,6.3,125.0,6480.0
The White Tiger,2021,7.1,125.0,49865.0
Tumbbad,2018,8.3,104.0,32899.0
Sardar Ka Grandson,2021,4.1,139.0,3770.0
Hotel Mumbai,2018,7.6,123.0,56042.0
Koi Jaane Na,2021,3.5,141.0,512.0
Andhadhun,2018,8.2,139.0,77877.0
Silence: Can You Hear It,2021,6.6,136.0,3323.0
Pagglait,2021,7.0,114.0,7039.0
Ludo,2020,7.6,150.0,32390.0
Ajeeb Daastaans,2021,6.7,142.0,4131.0
99 Songs,2019,7.4,128.0,1899.0
Lucifer,2019,7.5,175.0,8206.0
Dil Bechara,2020,6.6,101.0,117358.0
Shaadisthan,2021,6.0,94.0,184.0
Race 3,2018,1.9,160.0,42420.0
The Girl on the Train,2021,4.4,120.0,7310.0
Ramprasad Ki Tehrvi,2019,7.6,115.0,3571.0
Mumbai Saga,2021,6.1,135.0,7292.0
Uri: The Surgical Strike,2018,8.2,138.0,45968.0
Good Newwz,2019,6.9,134.0,15643.0
Article 15,2019,8.2,130.0,25697.0
Gully Boy,2019,8.0,154.0,33896.0
Super 30,2019,8.0,154.0,22993.0
Badla,2019,7.8,118.0,23886.0
Raat Akeli Hai,2020,7.3,149.0,15766.0
Bulbbul,2020,6.6,94.0,10139.0
Bhonsle,2018,7.0,128.0,1257.0
Sir,2018,7.7,99.0,5457.0
Zero,2018,5.4,164.0,24776.0
Stree,2018,7.6,128.0,29895.0
Saina,2021,4.2,135.0,3365.0
Nail Polish,2021,7.4,128.0,3733.0
Pad Man,2018,7.9,140.0,22608.0
Chhichhore,2019,8.3,143.0,38562.0
Kaagaz,2021,7.6,109.0,6736.0
The Big Bull,2021,6.1,153.0,11531.0
Roohi,2021,4.3,134.0,6416.0
Section 375,2019,8.1,124.0,13041.0
Sonchiriya,2019,8.1,143.0,9568.0
Kabir Singh,2019,7.1,173.0,27729.0
Malang,2020,6.5,135.0,8971.0
Badhaai Ho,2018,8.0,124.0,29515.0
Climax,2020,2.0,52.0,228.0
Padmaavat,2018,7.0,164.0,28570.0
War,2019,6.5,154.0,20890.0
Unpaused,2020,7.0,113.0,2057.0
My Client's Wife,2020,6.2,106.0,666.0
Thugs of Hindostan,2018,4.1,164.0,18217.0
Vada Chennai,2018,8.5,164.0,13114.0
Bharat,2019,4.9,150.0,22569.0
Bhavesh Joshi Superhero,2018,7.6,154.0,7474.0
AK vs AK,2020,6.9,108.0,12427.0
Evil Eye,2020,4.7,90.0,2958.0
Sadak 2,2020,1.1,133.0,67774.0
Batla House,2019,7.2,146.0,10090.0
Angrezi Medium,2020,7.3,145.0,11698.0
Bala,2019,7.3,133.0,12367.0
Panipat,2019,5.3,171.0,4426.0
Milestone,2020,6.6,98.0,411.0
Welcome Home,2020,7.5,126.0,2410.0
Sanju,2018,7.7,155.0,49192.0
Lootcase,2020,7.6,132.0,15188.0
The Body,2019,5.4,101.0,2964.0
Serious Men,2020,6.8,114.0,6380.0
Taish,2020,7.5,143.0,3698.0
"I Am Alone, So Are You...",2019,6.5,117.0,896.0
The Sky Is Pink,2019,7.6,143.0,7683.0
Aiyaary,2018,5.3,157.0,4165.0
Lust Stories,2018,6.4,120.0,10009.0
October,2018,7.5,115.0,14011.0
Karwaan,2018,7.6,114.0,13983.0
Kedarnath,2018,6.9,116.0,11439.0
2,2018,6.2,148.0,21933.0
Suraj Pe Mangal Bhari,2020,5.9,141.0,3009.0
B.A. Pass 3,2021,8.3,136.0,1875.0
Blackmail,2018,7.1,138.0,9671.0
The Tashkent Files,2019,7.8,134.0,9574.0
Ginny Weds Sunny,2020,5.7,125.0,3871.0
Hello Charlie,2021,5.6,102.0,3167.0
Luka Chuppi,2019,6.3,126.0,8807.0
Student of the Year 2,2019,2.2,146.0,17481.0
Madam Chief Minister,2021,4.6,130.0,1382.0
Kadakh,2019,7.0,108.0,1380.0
Dream Girl,2019,7.0,132.0,12274.0
Ghost Stories,2020,4.3,144.0,4619.0
Khuda Haafiz,2020,7.4,133.0,16139.0
Raazi,2018,7.8,138.0,26553.0
Coolie No. 1,2020,2.9,134.0,56224.0
Tanhaji: The Unsung Warrior,2020,7.6,135.0,22336.0
Ahaan,2019,7.2,81.0,213.0
Mrs. Serial Killer,2020,4.8,106.0,11530.0
Kesari,2019,7.4,150.0,15656.0
Chhalaang,2020,6.8,136.0,15829.0
Laxmii,2020,2.4,141.0,49158.0
Dabangg 3,2019,3.0,160.0,15792.0
Baaghi 3,2020,2.1,143.0,10306.0
Pari,2018,6.6,136.0,5897.0
Mardaani 2,2019,7.4,103.0,8197.0
Romeo Akbar Walter,2019,6.6,141.0,5118.0
GOLD,2018,7.3,151.0,11931.0
Time to Dance,2021,1.8,113.0,730.0
Notebook,2019,6.9,115.0,2252.0
Genius,2018,5.3,165.0,1821.0
Tribhanga,2021,6.1,95.0,2507.0
Marjaavaan,2019,3.6,152.0,3144.0
Thappad,2020,6.8,142.0,15060.0
Baazaar,2018,6.6,137.0,4829.0
Photograph,2019,6.9,110.0,4504.0
Indoo Ki Jawani,2020,3.0,119.0,5030.0
Gunjan Saxena: The Kargil Girl,2020,5.3,112.0,25002.0
Mulk,2018,6.9,140.0,14156.0
Housefull 4,2019,3.5,145.0,10905.0
Hacked,2020,4.3,118.0,1208.0
Chintu Ka Birthday,2020,7.8,80.0,4062.0
Kaadan,2021,9.1,170.0,2219.0
Torbaaz,2020,6.8,133.0,5288.0
Sonu Ke Titu Ki Sweety,2018,7.1,138.0,19997.0
Ammaa Ki Boli,2021,8.1,117.0,870.0
Durgamati: The Myth,2020,3.8,155.0,4975.0
Ascharyachakit!,2018,4.9,90.0,542.0
Jawaani Jaaneman,2020,6.6,119.0,6371.0
V,2020,6.9,140.0,6756.0
Laal Kaptaan,2019,7.3,155.0,4114.0
Chaman Bahaar,2020,7.0,111.0,5864.0
Mard Ko Dard Nahin Hota,2018,7.4,134.0,6646.0
Street Dancer 3D,2020,3.6,146.0,5930.0
Choked,2020,5.8,114.0,4826.0
Made in China,2019,6.2,128.0,3845.0
Laila Majnu,2018,7.8,140.0,2698.0
Missing,2018,5.8,120.0,2074.0
Simmba,2018,5.6,158.0,15243.0
Class of '83,2020,5.8,98.0,5083.0
Mission Mangal,2019,6.5,130.0,12608.0
Love Sonia,2018,7.4,122.0,1570.0
Hichki,2018,7.5,116.0,11092.0
Bahut Hua Sammaan,2020,7.3,125.0,3036.0
Manto,2018,7.4,112.0,3929.0
Satyameva Jayate,2018,5.7,140.0,6299.0
Yeh Saali Aashiqui,2019,8.0,137.0,3262.0
Baaghi 2,2018,4.8,137.0,9624.0
The Accidental Prime Minister,2019,6.0,112.0,6373.0
One Day: Justice Delivered,2019,5.0,124.0,1055.0
Drive,2019,3.5,147.0,6414.0
PM Narendra Modi,2019,3.1,136.0,5954.0
Husband Material,2018,6.9,156.0,7441.0
Darbaan,2020,7.5,145.0,727.0
Kalank,2019,3.6,166.0,11870.0
Shimla Mirchi,2020,4.6,129.0,1321.0
De De Pyaar De,2019,6.6,135.0,7325.0
Parmanu: The Story of Pokhran,2018,7.6,129.0,21771.0
D Company,2021,4.4,91.0,216.0
Panga,2020,6.8,131.0,5455.0
The Power,2021,5.7,153.0,1543.0
